code,brk_height,brk_tt_len,longhu_dis,xt_start,xt_end,brk_end,stage,date
15e2bea001ce254543df773d123201bb,4.9,2,-1,2018-06-26,2018-07-17,2018-07-19,5,2018-07-18
f6bf2ed7d7f039c37d1fd90fd0cc14d9,10.0,3,-1,2018-02-27,2018-03-20,2018-03-23,5,2018-03-21
f6bf2ed7d7f039c37d1fd90fd0cc14d9,11.58,2,-1,2018-04-18,2018-05-07,2018-05-09,5,2018-05-08
f6bf2ed7d7f039c37d1fd90fd0cc14d9,3.63,1,-1,2018-06-19,2018-07-02,2018-07-03,5,2018-07-03
f6bf2ed7d7f039c37d1fd90fd0cc14d9,27.59,5,3,2018-07-03,2018-07-23,2018-07-30,5,2018-07-24
2f3c593b4042634d03085aef8d758cc7,6.77,3,-1,2018-02-27,2018-03-14,2018-03-19,5,2018-03-15
1b95fe8c576b912f837d49f6a8b0cc60,18.38,3,0,2018-04-18,2018-05-10,2018-05-15,5,2018-05-11
1b95fe8c576b912f837d49f6a8b0cc60,4.76,1,-1,2018-06-19,2018-06-28,2018-06-29,5,2018-06-29
1b95fe8c576b912f837d49f6a8b0cc60,1.57,2,-1,2018-07-02,2018-07-20,2018-07-24,5,2018-07-23
77b16c1d63595da3891924ef951011d7,3.23,1,-1,2018-02-26,2018-03-09,2018-03-12,5,2018-03-12
77b16c1d63595da3891924ef951011d7,36.36,4,1,2018-06-25,2018-07-23,2018-07-27,5,2018-07-24
1c25f5b2b4fe91aa0366d899aa3b860b,2.62,1,-1,2018-07-02,2018-07-25,2018-07-26,5,2018-07-26
5e93862ba65d8e1ebfccc45133caf519,7.55,1,-1,2018-02-13,2018-02-28,2018-03-01,5,2018-03-01
5e93862ba65d8e1ebfccc45133caf519,16.01,3,-1,2018-03-01,2018-03-28,2018-04-02,5,2018-03-29
5e93862ba65d8e1ebfccc45133caf519,7.58,2,-1,2018-04-02,2018-04-17,2018-04-19,5,2018-04-18
0ae62eb69d37be41704fbde3cc998160,33.16,3,0,2018-02-14,2018-03-07,2018-03-12,5,2018-03-08
0ae62eb69d37be41704fbde3cc998160,10.14,1,0,2018-03-23,2018-04-03,2018-04-04,5,2018-04-04
0ae62eb69d37be41704fbde3cc998160,5.45,1,-1,2018-04-18,2018-05-08,2018-05-09,5,2018-05-09
0ae62eb69d37be41704fbde3cc998160,14.05,3,-1,2018-05-09,2018-05-21,2018-05-24,5,2018-05-22
60523d1171c6c1d0e94a28fcf4599e58,8.29,3,-1,2018-02-13,2018-03-07,2018-03-12,5,2018-03-08
60523d1171c6c1d0e94a28fcf4599e58,1.31,1,-1,2018-03-23,2018-04-09,2018-04-10,5,2018-04-10
60523d1171c6c1d0e94a28fcf4599e58,3.2,2,-1,2018-07-02,2018-07-25,2018-07-27,5,2018-07-26
1b4ed5e3c4cc011aee35f2a3fd9362ac,3.31,2,-1,2018-06-19,2018-07-12,2018-07-16,5,2018-07-13
2ce856fe3a5b75ee01025c3b794f404c,27.29,3,0,2018-07-03,2018-07-19,2018-07-24,5,2018-07-20
d03c331aad3d9b1403765b222ed87533,4.26,1,-1,2018-02-22,2018-03-07,2018-03-08,5,2018-03-08
d03c331aad3d9b1403765b222ed87533,8.07,2,-1,2018-03-14,2018-03-26,2018-03-28,5,2018-03-27
d03c331aad3d9b1403765b222ed87533,9.95,1,-1,2018-04-23,2018-05-21,2018-05-22,5,2018-05-22
d03c331aad3d9b1403765b222ed87533,2.67,1,-1,2018-06-25,2018-07-10,2018-07-11,5,2018-07-11
d03c331aad3d9b1403765b222ed87533,11.73,4,-1,2018-07-11,2018-07-23,2018-07-27,5,2018-07-24
c91396ff46feddb19b5e36cbd0457f54,20.87,2,0,2018-02-13,2018-04-10,2018-04-12,5,2018-04-11
21e537ffd21ae538876f1a2bd019371a,7.46,2,-1,2018-03-05,2018-03-15,2018-03-19,5,2018-03-16
0ff0f27163892c26db60609a4e39f089,12.28,2,-1,2018-03-26,2018-04-10,2018-04-12,5,2018-04-11
0ff0f27163892c26db60609a4e39f089,10.08,1,0,2018-04-17,2018-05-04,2018-05-07,5,2018-05-07
0ff0f27163892c26db60609a4e39f089,16.16,2,-1,2018-06-25,2018-07-12,2018-07-16,5,2018-07-13
c88d23494c7b0d0918512298442ccf8f,4.47,2,-1,2018-02-22,2018-03-08,2018-03-12,5,2018-03-09
c88d23494c7b0d0918512298442ccf8f,21.08,2,0,2018-03-12,2018-03-21,2018-03-23,5,2018-03-22
920f3eb5ab2b8c007956a636273f2e42,7.77,2,-1,2018-03-13,2018-05-15,2018-05-17,5,2018-05-16
1cff48ba0020c6fcdd6c4fe0e40f5247,6.7,2,-1,2018-03-23,2018-04-04,2018-04-10,5,2018-04-09
