brk_end,code,created,date,stage,xt_end,xt_start
,da69f0ad8c3a68fe4a7d936a3eaac92c,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,bc2675bb997fa8cdf329cecd601517f6,2018-08-29,2018-08-29,2,2018-08-29,2018-08-17
,bc2675bb997fa8cdf329cecd601517f6,2018-08-29,2018-08-15,4,2018-08-15,2018-07-17
,f20849f98e03dc3b26c14f3acb4140ea,2018-08-29,2018-08-29,2,2018-08-29,2018-07-17
,4ef819e10b2310e540aee83404509a3b,2018-08-29,2018-08-29,2,2018-08-29,2018-07-18
,b9f2df91c71f9bedfe0348c906f95c64,2018-08-29,2018-08-29,2,2018-08-29,2018-08-08
,b9f2df91c71f9bedfe0348c906f95c64,2018-08-29,2018-07-31,4,2018-07-31,2018-07-19
2018-08-29,79e75e2d5e8865b96177f85792348e92,2018-08-29,2018-08-29,5,2018-08-27,2018-08-03
,1a078a365fa47bcd53fc725cc7b72188,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,9a4939228d110c15a9bd0eaa586b6973,2018-08-29,2018-08-14,4,2018-08-14,2018-08-03
,9a4939228d110c15a9bd0eaa586b6973,2018-08-29,2018-07-31,4,2018-07-31,2018-07-17
,877c77addae84be667bfa54f553d22e0,2018-08-29,2018-08-27,4,2018-08-27,2018-07-17
,9b9538952f14ea82b19a1b795b24d468,2018-08-29,2018-08-29,2,2018-08-29,2018-07-18
,5ba3fff6fba7230e91d82a593b2a42d2,2018-08-29,2018-08-21,4,2018-08-21,2018-07-17
,f2e73e0e3616a24995224ca07225fd2a,2018-08-29,2018-08-29,2,2018-08-29,2018-08-17
,f2e73e0e3616a24995224ca07225fd2a,2018-08-29,2018-08-16,4,2018-08-16,2018-07-18
,8d49b08430fed37eaed91df3377a8504,2018-08-29,2018-08-29,2,2018-08-29,2018-07-24
,007b98ff5d75ef3e49964a00627ff860,2018-08-29,2018-08-29,2,2018-08-29,2018-07-18
,31781d7deec6a74a8bf7b57c173319e5,2018-08-29,2018-08-29,2,2018-08-29,2018-07-18
,15b3e71aff8b8cee489b0b11b3afb9b6,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
2018-08-29,8b1b4d42572105890dc5cea64c66b446,2018-08-29,2018-08-29,5,2018-08-24,2018-08-06
,8b1b4d42572105890dc5cea64c66b446,2018-08-29,2018-08-01,4,2018-08-01,2018-07-19
,096ddc4150bde753653a47a29da1c730,2018-08-29,2018-08-21,4,2018-08-21,2018-08-06
,096ddc4150bde753653a47a29da1c730,2018-08-29,2018-07-26,4,2018-07-26,2018-07-17
,a585953461076af973680ad62a86085e,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,a585953461076af973680ad62a86085e,2018-08-29,2018-07-31,4,2018-07-31,2018-07-18
,71da8428b4d175f22bd8f51ea670d2f9,2018-08-29,2018-08-29,2,2018-08-29,2018-07-17
,d0c286a6708ba90682a46c99b1cde375,2018-08-29,2018-08-29,2,2018-08-29,2018-08-16
2018-08-08,d0c286a6708ba90682a46c99b1cde375,2018-08-29,2018-08-08,6,2018-08-02,2018-07-18
,f3a3797bd5bde3c5a618a97a204306c6,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,f3a3797bd5bde3c5a618a97a204306c6,2018-08-29,2018-08-01,4,2018-08-01,2018-07-17
,11c8a931cd4d0a9096abef48e62f61f3,2018-08-29,2018-08-29,2,2018-08-29,2018-07-19
,ec2e43a3b4d46534c5827a6446b25f0a,2018-08-29,2018-08-29,2,2018-08-29,2018-08-20
,ec2e43a3b4d46534c5827a6446b25f0a,2018-08-29,2018-08-15,4,2018-08-15,2018-07-23
,07a3915e028f1469f7afd3d9ec141640,2018-08-29,2018-08-29,2,2018-08-29,2018-08-17
,07a3915e028f1469f7afd3d9ec141640,2018-08-29,2018-08-14,4,2018-08-14,2018-07-31
,7f38a9a9abba7d264685a55eec28a391,2018-08-29,2018-08-29,2,2018-08-29,2018-08-17
,7f38a9a9abba7d264685a55eec28a391,2018-08-29,2018-08-14,4,2018-08-14,2018-07-19
2018-08-22,7cb2d87f3829520ce9bbf4498a5ddd94,2018-08-29,2018-08-22,6,2018-08-20,2018-08-06
2018-07-31,7cb2d87f3829520ce9bbf4498a5ddd94,2018-08-29,2018-07-31,6,2018-07-31,2018-07-19
2018-08-29,30f0b5f22529df91cf582c3a185c4065,2018-08-29,2018-08-29,5,2018-08-23,2018-08-06
,30f0b5f22529df91cf582c3a185c4065,2018-08-29,2018-07-31,4,2018-07-31,2018-07-17
2018-08-29,055237164e926f016515b232d9ae07e3,2018-08-29,2018-08-29,5,2018-08-27,2018-07-17
,10509d7b8f3078c422d21583c10dd90b,2018-08-29,2018-08-21,4,2018-08-21,2018-08-06
,10509d7b8f3078c422d21583c10dd90b,2018-08-29,2018-07-31,4,2018-07-31,2018-07-17
,6e8d5e7d5b1bbe26ba575249da08bf56,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,6e8d5e7d5b1bbe26ba575249da08bf56,2018-08-29,2018-07-27,4,2018-07-27,2018-07-18
,1041f083c46cd72c2770e8e06288dc61,2018-08-29,2018-08-29,2,2018-08-29,2018-07-30
,14d142a6c43e25666c0b829a0f7e02db,2018-08-29,2018-08-29,2,2018-08-29,2018-07-17
,21baf036b6578476f541d08efbb68216,2018-08-29,2018-08-29,2,2018-08-29,2018-07-17
,fe65766cca9e8daa61925d9e677865d6,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,fe65766cca9e8daa61925d9e677865d6,2018-08-29,2018-07-26,4,2018-07-26,2018-07-17
